source_ctuid,target_ctuid,w_area
0010001.00,0010001.00,1.0
0010002.00,0010002.00,1.0
0010003.00,0010003.00,1.0
0010004.00,0010004.00,1.0
0010005.00,0010005.00,1.0
0010006.00,0010006.00,1.0
0010007.00,0010007.00,1.0
0010008.00,0010008.00,1.0
0010009.00,0010009.00,1.0
0010010.00,0010010.00,1.0
0010011.00,0010011.00,1.0
0010012.00,0010012.00,1.0
0010400.00,0010052.00,1.0
0010401.00,0010054.00,1.0
0010402.00,0010050.00,1.0
0010403.00,0010051.00,0.73603346
0010403.00,0010053.00,0.26396654
0010404.00,0010056.00,1.0
0010405.00,0010053.00,1.0
0010406.00,0010053.00,0.52284965
0010406.00,0010054.00,0.29570126
0010406.00,0010055.00,0.18144909
0010407.00,0010057.00,1.0
0010408.00,0010054.00,0.10039824
0010408.00,0010055.00,0.89960176
0010409.00,0010058.00,1.0
2050001.00,2050001.00,1.0
2050002.00,2050002.00,1.0
2050003.00,2050003.00,1.0
2050004.00,2050004.00,1.0
2050005.00,2050005.00,1.0
2050006.00,2050006.00,1.0
2050007.00,2050007.00,1.0
2050008.00,2050008.00,1.0
2050009.00,2050009.00,1.0
2050010.00,2050010.00,1.0
2050011.00,2050011.00,1.0
2050012.00,2050012.00,1.0
2050013.00,2050013.00,1.0
2050014.00,2050014.00,1.0
2050015.00,2050015.00,1.0
2050016.00,2050016.00,1.0
2050017.00,2050017.00,1.0
2050018.00,2050018.00,1.0
2050019.00,2050019.00,1.0
2050020.00,2050020.00,1.0
2050400.00,2050053.00,1.0
2050401.00,2050050.00,1.0
2050402.00,-1,0.0
2050402.00,2050051.00,0.26255212
2050402.00,2050055.00,0.73744788
2050403.00,-1,0.0
2050403.00,2050022.00,0.22291165
2050403.00,2050023.00,0.20615871
2050403.00,2050024.00,0.24359441
2050403.00,2050051.00,0.2237321
2050403.00,2050054.00,0.10360314
2050404.00,2050052.00,0.99657567
2050404.00,2050056.00,0.00342433
2050405.00,2050021.00,0.82319648
2050405.00,2050022.00,0.17680352
3100001.00,3100001.00,1.0
3100002.00,3100002.00,1.0
3100003.00,3100003.00,1.0
3100004.00,3100004.00,1.0
3100005.00,3100005.00,1.0
3100006.00,3100006.00,1.0
3100007.00,3100007.00,1.0
3100008.00,3100008.00,1.0
3100009.00,3100009.00,1.0
3100010.00,3100010.00,1.0
3100011.00,3100011.00,0.86857891
3100011.00,3100018.00,0.13142109
3100012.00,3100012.00,1.0
3100013.00,3100013.00,1.0
3100014.00,3100014.00,1.0
3100015.00,3100015.00,1.0
3100016.00,3100016.00,1.0
3100017.00,3100017.00,1.0
3100017.50,3100013.00,0.06239193
3100017.50,3100018.00,0.93760807
3100018.00,3100021.00,1.0
3100019.00,3100022.00,1.0
3100020.00,3100021.00,0.06512385
3100020.00,3100023.00,0.93487615
3100020.50,3100024.00,1.0
3100021.00,3100025.00,1.0
3100022.00,3100026.00,1.0
3100022.50,3100050.00,1.0
3100400.00,3100051.00,1.0
3100401.00,3100053.00,1.0
3100402.00,3100052.00,1.0
3100403.00,3100054.00,1.0
4210001.00,4210001.00,1.0
4210002.00,4210002.00,1.0
4210003.00,4210003.00,1.0
4210004.00,4210004.00,1.0
4210005.00,4210005.00,1.0
