source_ctuid,target_ctuid,w_pop,w_dwe
0010001.00,0010001.00,0.71656676,0.74132979
0010001.00,0010002.00,0.22679486,0.20717248
0010001.00,0010006.00,0.05663838,0.05149773
0010002.00,0010002.00,1.0,1.0
0010003.00,0010003.00,0.49986175,0.45737065
0010003.00,0010170.00,0.50013825,0.54262935
0010004.00,0010004.00,1.0,1.0
0010005.00,0010005.01,0.42061935,0.41426719
0010005.00,0010005.02,0.57938065,0.58573281
0010006.00,0010006.00,1.0,1.0
0010007.00,0010007.00,0.95186734,0.94916901
0010007.00,0010010.00,0.04813266,0.05083099
0010008.00,0010008.00,1.0,1.0
0010009.00,0010009.00,0.86297479,0.87392567
0010009.00,0010010.00,0.0906863,0.08140991
0010009.00,0010014.00,0.0463389,0.04466442
0010010.00,0010010.00,1.0,1.0
0010011.00,0010011.00,1.0,1.0
0010012.00,0010012.00,1.0,1.0
0010013.00,0010013.00,1.0,1.0
0010014.00,0010014.00,1.0,1.0
0010015.00,0010015.01,0.3339453,0.36544455
0010015.00,0010015.02,0.6660547,0.63455545
0010016.00,0010004.00,0.06950219,0.07109861
0010016.00,0010016.00,0.93049781,0.92890139
0010100.00,0010001.00,0.87150614,0.85428055
0010100.00,0010100.00,0.12849386,0.14571945
0010110.00,-1,0.0,0.0
0010110.00,0010100.00,0.84370129,0.8358347
0010110.00,0010300.00,0.15629871,0.1641653
0010120.00,0010004.00,0.05238814,0.04602138
0010120.00,0010170.00,0.11758688,0.11697114
0010120.00,0010172.00,0.25266623,0.25205208
0010120.00,0010202.00,0.52742264,0.5263015
0010120.00,0010300.00,0.04993611,0.05865391
0010130.00,0010016.00,0.34089206,0.3176664
0010130.00,0010201.00,0.10066482,0.11057298
0010130.00,0010202.00,0.55844312,0.57176062
0010140.00,0010016.00,0.74286181,0.74339038
0010140.00,0010200.00,0.07305629,0.07296651
0010140.00,0010201.00,0.1840819,0.18364312
0010150.00,0010015.01,0.13264841,0.12268841
0010150.00,0010015.02,0.27676248,0.31419488
0010150.00,0010200.00,0.59058911,0.56311671
0010160.00,0010100.00,1.0,1.0
0010170.00,0010171.00,0.58722849,0.59651293
0010170.00,0010172.00,0.41277151,0.40348707
0010180.00,0010015.02,1.0,1.0
0010200.00,0010200.00,0.70678034,0.68124334
0010200.00,0010201.00,0.29321966,0.31875666
0010210.00,0010200.00,1.0,1.0
0010300.00,0010300.00,0.23850269,0.25346686
0010300.00,0010301.00,0.58995133,0.57864782
0010300.00,0010302.00,0.17154598,0.16788532
0010310.00,0010302.00,1.0,1.0
2050001.00,2050001.00,1.0,1.0
2050002.00,2050002.00,1.0,1.0
2050003.00,2050003.00,1.0,1.0
2050004.00,2050004.00,1.0,1.0
2050005.00,2050005.00,1.0,1.0
2050006.00,2050006.00,1.0,1.0
2050007.00,2050007.00,1.0,1.0
2050008.00,2050008.00,1.0,1.0
2050009.00,2050009.00,1.0,1.0
2050010.00,2050010.00,1.0,1.0
2050011.00,2050011.00,1.0,1.0
2050012.00,2050012.00,1.0,1.0
2050013.00,2050013.00,1.0,1.0
2050014.00,2050014.00,1.0,1.0
2050015.00,2050014.00,0.04503289,0.04503289
2050015.00,2050015.00,0.87054764,0.87054764
2050015.00,2050016.00,0.04326952,0.04326952
2050015.00,2050141.00,0.04114995,0.04114995
2050016.00,2050016.00,1.0,1.0
2050017.00,2050017.00,1.0,1.0
2050018.00,2050018.00,1.0,1.0
2050019.00,2050019.00,0.95634472,0.95634472
2050019.00,2050020.00,0.04365528,0.04365528
2050020.00,2050020.00,1.0,1.0
2050021.00,2050021.00,0.95713901,0.95356052
2050021.00,2050022.00,0.04286099,0.04643948
2050022.00,2050022.00,1.0,1.0
2050023.00,2050023.00,1.0,1.0
2050024.00,2050024.00,1.0,1.0
2050025.00,2050025.00,1.0,1.0
2050026.00,2050026.00,1.0,1.0
2050027.00,2050027.00,0.98961933,0.98965285
2050027.00,2050142.00,0.01038067,0.01034715
2050100.00,2050100.00,0.90274579,0.9070098
2050100.00,2050101.00,0.09725421,0.0929902
2050101.00,2050101.00,1.0,1.0
2050102.00,2050101.00,0.14049405,0.15548646
2050102.00,2050102.00,0.85950595,0.84451354
2050103.00,2050103.00,1.0,1.0
2050104.00,2050104.00,1.0,1.0
2050105.00,2050105.00,1.0,1.0
2050106.00,2050106.00,1.0,1.0
2050107.00,2050107.00,1.0,1.0
2050108.00,2050108.00,1.0,1.0
2050109.00,2050109.00,1.0,1.0
2050110.00,2050110.00,1.0,1.0
2050111.00,2050111.00,1.0,1.0
2050112.00,2050112.00,1.0,1.0
2050113.00,2050113.00,1.0,1.0
2050114.00,2050114.00,1.0,1.0
2050120.00,2050120.00,0.08290192,0.08494078
2050120.00,2050121.00,0.39710755,0.34938283
2050120.00,2050122.00,0.21074341,0.21664616
2050120.00,2050123.00,0.30924713,0.34903023
2050130.00,2050130.00,0.31496287,0.31777158
2050130.00,2050131.00,0.38031416,0.38001443
2050130.00,2050132.00,0.27370439,0.27115016
2050130.00,2050143.00,0.03101858,0.03106383
2050140.00,2050121.00,1.0,1.0
3100001.00,3100001.00,1.0,1.0
3100002.00,3100002.00,0.89935191,0.90547035
3100002.00,3100029.00,0.10064809,0.09452965
3100003.00,3100003.00,1.0,1.0
3100004.00,3100004.00,1.0,1.0
3100005.00,3100004.00,0.06647766,0.07315173
3100005.00,3100005.00,0.93352234,0.92684827
3100006.00,3100005.00,0.05298216,0.05347863
3100006.00,3100006.00,0.94701784,0.94652137
3100007.00,3100007.00,0.90377853,0.89385773
3100007.00,3100019.00,0.09622147,0.10614227
3100008.00,3100008.00,1.0,1.0
3100009.00,3100009.00,1.0,1.0
3100010.00,3100010.00,1.0,1.0
3100011.00,3100007.00,0.04418023,0.04418023
3100011.00,3100011.00,0.95581977,0.95581977
3100012.00,3100012.00,0.95773623,0.95773623
3100012.00,3100014.00,0.04226377,0.04226377
3100013.00,3100013.00,1.0,1.0
3100014.00,3100014.00,1.0,1.0
3100015.00,3100015.00,1.0,1.0
3100016.00,3100016.00,1.0,1.0
3100017.00,3100017.00,1.0,1.0
3100018.00,3100018.00,1.0,1.0
3100019.00,3100019.00,0.92497903,0.92419572
