ctuid_s,ctuid_t,w,f
0010001.00,0010001.00,1.0,1
0010002.00,0010002.00,1.0,1
0010003.01,0010003.01,1.0,1
0010003.02,0010003.02,1.0,1
0010004.00,0010004.00,1.0,1
0010005.01,0010005.01,1.0,1
0010005.02,0010005.02,1.0,1
0010006.00,0010006.00,1.0,1
0010007.00,0010007.00,1.0,1
0010008.00,0010008.00,1.0,1
0010009.00,0010009.00,1.0,1
0010010.00,0010010.00,1.0,1
0010011.00,0010011.00,1.0,1
0010012.00,0010012.00,1.0,1
0010013.00,0010013.00,1.0,1
0010014.00,0010014.00,1.0,1
0010015.01,0010015.01,1.0,1
0010015.02,0010015.02,1.0,1
0010015.03,0010015.03,1.0,1
0010015.04,0010015.04,1.0,1
0010016.00,0010016.01,0.291225783425155,3
0010016.00,0010016.02,0.708774216574845,3
0010100.01,0010100.01,1.0,4
0010100.02,0010100.03,0.5440402398822685,3
0010100.02,0010100.04,0.4559597601177315,3
0010170.00,0010170.01,0.4782231439104412,4
0010170.00,0010170.02,0.41013942045355517,4
0010170.00,0010171.00,0.11163743563600366,4
0010171.00,0010171.00,0.9169112173340889,4
0010171.00,0010172.04,0.08308878266591108,4
0010172.01,0010100.01,0.180326935798324,4
0010172.01,0010172.05,0.521185082170927,4
0010172.01,0010172.06,0.298487982030749,4
0010172.02,0010172.02,1.0,1
0010172.03,0010172.03,1.0,1
0010172.04,0010172.04,0.846089095881928,4
0010172.04,0010202.01,0.15391090411807198,4
0010200.01,0010200.01,0.959526225177807,4
0010200.01,0010200.02,0.04047377482219308,4
0010200.02,0010200.01,0.031130125286434086,4
0010200.02,0010200.02,0.968869874713566,4
0010200.03,0010200.03,1.0,1
0010201.00,0010201.00,1.0,1
0010202.00,0010202.01,0.03454242759836672,4
0010202.00,0010202.02,0.17857934662887112,4
0010202.00,0010202.04,0.31339469407022413,4
0010202.00,0010202.05,0.4734835317025381,4
0010300.00,0010300.00,1.0,1
0010301.01,0010301.01,1.0,1
0010301.02,0010301.02,1.0,1
0010302.00,0010302.00,1.0,1
0010303.00,-1,0.23163024907408802,4
0010303.00,0010017.00,0.338909617161628,4
0010303.00,-1,0.23163024907408802,4
0010303.00,0010110.00,0.288470930431278,4
0010303.00,-1,0.23163024907408802,4
0010303.00,0010172.05,0.0194645719989081,4
0010303.00,-1,0.23163024907408802,4
0010303.00,0010202.05,0.121524631334098,4
2050001.00,2050001.00,1.0,1
2050002.00,2050002.00,1.0,1
2050003.00,2050003.00,1.0,1
2050004.01,2050004.01,1.0,1
2050004.02,2050004.02,1.0,1
2050005.00,2050005.00,1.0,1
2050006.00,2050006.00,1.0,1
2050007.00,2050007.00,1.0,1
2050008.00,2050008.00,1.0,1
2050009.00,2050009.00,1.0,1
2050010.00,2050010.00,1.0,1
2050011.00,2050011.00,1.0,1
2050012.00,2050012.00,1.0,1
2050013.00,2050013.00,1.0,1
2050014.00,2050014.00,1.0,1
2050015.00,2050015.00,1.0,1
2050016.00,2050016.00,1.0,1
2050017.00,2050017.00,1.0,1
2050018.00,2050018.00,1.0,1
2050019.00,2050019.00,1.0,1
2050020.00,2050020.00,1.0,1
2050021.00,2050021.00,1.0,1
2050022.00,2050022.00,1.0,1
2050023.00,2050023.00,1.0,1
2050024.00,2050024.00,1.0,1
2050025.01,2050025.01,1.0,1
2050025.02,2050025.02,1.0,1
2050025.03,2050025.03,1.0,1
2050026.00,2050026.02,0.5035953601721234,3
2050026.00,2050026.03,0.35410925085504635,3
2050026.00,2050026.04,0.1422953889728303,3
2050027.00,2050027.00,0.9113735832635095,4
2050027.00,2050142.02,0.0886264167364905,4
2050100.00,2050100.00,1.0,1
2050101.00,2050101.00,1.0,1
2050102.00,2050102.00,1.0,1
2050103.00,2050103.00,1.0,1
2050104.01,2050104.01,1.0,1
2050104.02,2050104.02,1.0,1
2050105.01,2050105.01,1.0,1
2050105.02,2050105.02,1.0,1
2050106.00,2050106.01,0.30193371297463195,3
2050106.00,2050106.02,0.698066287025368,3
2050107.00,2050107.00,1.0,1
2050108.00,2050108.00,1.0,1
2050109.00,2050109.00,1.0,1
2050110.00,2050110.00,1.0,1
2050111.00,2050111.00,1.0,1
2050112.00,2050112.00,1.0,1
2050113.00,2050113.00,1.0,1
2050114.00,2050114.00,1.0,1
2050120.00,2050120.00,1.0,1
2050121.01,2050121.05,0.7148093036776045,3
2050121.01,2050121.06,0.2851906963223955,3
2050121.02,2050121.02,0.3346543109421066,3
2050121.02,2050121.08,0.35448878324070265,3
2050121.02,2050121.10,0.31085690581719067,3
2050121.03,2050121.03,1.0,1
2050122.01,2050122.01,1.0,1
2050122.02,2050122.04,0.5676332977057535,3
2050122.02,2050122.05,0.4323667022942465,3
2050122.03,2050122.03,1.0,1
2050123.01,2050123.01,1.0,1
2050123.02,2050123.02,1.0,1
2050123.03,2050123.04,0.4039199658512497,3
2050123.03,2050123.05,0.3629722912673727,3
2050123.03,2050123.06,0.2331077428813777,3
2050130.01,2050130.06,1.0,4
2050130.02,2050130.03,0.6068568493222932,4
2050130.02,2050130.04,0.36137090839279523,4
2050130.02,2050130.06,0.031772242284911524,4
2050131.01,2050131.01,1.0,1
2050131.02,2050131.02,1.0,1
2050131.03,2050131.03,1.0,1
2050131.04,2050131.04,1.0,1
2050131.05,2050131.05,1.0,1
2050132.01,2050132.03,0.30024006446740154,3
2050132.01,2050132.04,0.6997599355325985,3
2050132.02,2050132.06,0.425625587302139,4
2050132.02,2050132.07,0.226304693257845,4
2050132.02,2050132.10,0.348069719440016,4
2050140.00,2050140.00,1.0,1
2050141.00,2050141.00,1.0,4
2050142.00,2050132.06,0.029393010755515214,4
2050142.00,2050141.00,0.017180210509247416,4
2050142.00,2050142.01,0.2624291855857652,4
2050142.00,2050142.02,0.6909975931494722,4
2050143.00,2050132.10,0.05699610774767452,4
2050143.00,2050143.01,0.45065154936079926,4
2050143.00,2050143.02,0.49235234289152624,4
2050150.01,2050150.01,1.0,1
2050150.02,2050150.02,1.0,1
2050151.00,2050151.00,0.9452358070013507,3
2050151.00,2050153.00,0.05476419299864939,3
2050152.00,2050152.00,1.0,1
3050001.00,3050001.00,1.0,4
3050002.00,3050001.00,0.09768549282770693,4
3050002.00,3050002.00,0.9023145071722931,4
3050003.01,3050003.01,1.0,1
3050003.02,3050003.03,0.4578269442449295,3
3050003.02,3050003.04,0.5421730557550706,3
3050004.00,3050004.00,1.0,1
3050005.00,3050005.00,1.0,1
3050006.00,3050006.00,1.0,1
3050007.00,3050007.00,1.0,1
3050008.00,3050008.00,1.0,1
3050009.00,3050009.00,1.0,1
3050010.01,3050010.01,1.0,1
3050010.02,3050010.02,1.0,1
3050011.00,3050011.00,1.0,1
3050012.00,3050012.00,0.9579442974073569,4
3050012.00,3050013.00,0.042055702592643164,4
3050013.00,3050013.00,1.0,4
3050014.00,3050014.02,0.2477796231392257,3
3050014.00,3050014.03,0.5147912121528466,3
3050014.00,3050014.04,0.2374291647079277,3
3050015.00,3050015.02,0.8901267518888705,4
3050015.00,3050016.01,0.10987324811112949,4
3050016.00,3050016.01,0.46376996953848754,4
3050016.00,3050016.02,0.5362300304615125,4
3050100.00,3050100.00,1.0,1
3050101.00,3050101.00,1.0,1
3050102.01,3050102.01,1.0,1
3050102.02,3050102.02,1.0,1
3100001.01,3100001.01,1.0,4
3100001.02,3100001.01,0.021992956285892474,4
3100001.02,3100001.02,0.9780070437141075,4
3100002.01,3100002.01,1.0,1
3100002.02,3100002.02,1.0,1
3100003.00,3100003.00,1.0,1
3100004.00,3100004.00,1.0,1
3100005.00,3100005.00,1.0,1
3100006.00,3100006.00,1.0,1
3100007.00,3100007.00,1.0,4
3100008.00,3100008.00,0.8997358358506935,4
3100008.00,3100009.00,0.10026416414930647,4
3100009.00,3100009.00,1.0,4
3100010.00,3100010.00,1.0,1
3100011.00,3100011.00,1.0,1
3100012.00,3100012.00,1.0,4
3100013.00,3100012.00,0.1175829660110875,4
3100013.00,3100013.00,0.8824170339889126,4
3100014.00,3100014.00,1.0,1
3100015.00,3100015.00,1.0,1
3100016.00,3100016.00,1.0,1
3100017.00,3100017.00,1.0,1
3100018.00,3100018.00,1.0,1
3100019.00,3100007.00,0.20206708381665398,4
3100019.00,3100019.00,0.7979329161833459,4
3100020.00,3100020.00,1.0,1
3100021.00,3100021.00,1.0,1
3100022.00,3100022.00,1.0,1
3100023.00,3100023.00,1.0,1
3100024.00,3100024.00,1.0,1
3100025.01,3100025.01,0.9238264592062695,4
3100025.01,3100026.00,0.07617354079373052,4
3100025.02,3100025.02,0.9397134887508173,4
3100025.02,3100026.00,0.06028651124918268,4
3100026.00,3100026.00,1.0,4
3100027.01,3100027.01,1.0,1
3100027.02,3100027.02,1.0,1
3100028.00,3100028.00,1.0,1
3100029.00,3100029.00,1.0,1
3100100.00,3100100.01,0.4038172478004778,4
3100100.00,3100100.03,0.22334840913354082,4
3100100.00,3100100.04,0.33037972506641883,4
3100100.00,3100101.00,0.04245461799956251,4
3100101.00,3100101.00,1.0,4
3100110.00,3100110.01,0.39330450878963896,4
3100110.00,3100110.02,0.558366612525444,4
3100110.00,3100120.02,0.03324643838903062,4
3100110.00,3100130.03,0.015082440295886526,4
3100111.00,3100111.00,1.0,1
3100112.00,3100112.00,1.0,1
3100120.00,3100120.02,0.536391221941068,4
3100120.00,3100120.03,0.11296580714230899,4
3100120.00,3100120.04,0.350642970916623,4
3100130.01,3100130.01,1.0,1
3100130.02,3100130.04,1.0,1
3100131.00,3100131.01,0.3445152537411425,3
3100131.00,3100131.02,0.6554847462588574,3
4080001.00,4080001.00,1.0,1
4080002.00,4080002.01,0.373133762189476,3
4080002.00,4080002.02,0.626866237810524,3
4080003.00,4080003.01,0.6372872441570245,3
4080003.00,4080003.02,0.3627127558429755,3
4080004.00,4080004.00,1.0,1
