ctuid_s,ctuid_t,w,f
0010001.00,0010001.00,1.0,1
0010002.00,0010002.00,1.0,1
0010003.01,0010003.01,1.0,1
0010003.02,0010003.02,1.0,1
0010004.00,0010004.00,1.0,1
0010005.01,0010005.01,1.0,1
0010005.02,0010005.02,1.0,1
0010006.00,0010006.00,1.0,1
0010007.00,0010007.00,0.9733924037723876,4
0010007.00,0010009.00,0.026607596227612416,4
0010008.00,0010008.00,1.0,1
0010009.00,0010009.00,1.0,4
0010010.00,0010010.00,1.0,1
0010011.00,0010011.00,1.0,1
0010012.00,0010012.00,1.0,1
0010013.00,0010013.00,1.0,1
0010014.00,0010014.00,1.0,1
0010015.01,0010015.01,1.0,1
0010015.02,0010015.02,1.0,1
0010015.03,0010015.03,1.0,1
0010015.04,0010015.04,1.0,1
0010016.01,0010016.01,1.0,1
0010016.02,0010016.02,1.0,1
0010017.00,0010017.00,1.0,1
0010100.01,0010100.01,1.0,1
0010100.03,0010100.03,1.0,1
0010100.04,0010100.04,1.0,1
0010110.00,0010110.00,1.0,1
0010170.01,0010170.01,1.0,1
0010170.02,0010170.02,1.0,1
0010171.00,0010171.00,1.0,1
0010172.02,0010172.02,1.0,4
0010172.03,0010172.03,1.0,1
0010172.04,0010172.04,1.0,1
0010172.05,0010172.05,0.9838095495793903,4
0010172.05,0010172.06,0.016190450420609702,4
0010172.06,0010172.06,1.0,4
0010200.01,0010200.01,1.0,1
0010200.02,0010200.02,1.0,1
0010200.03,0010200.03,1.0,1
0010201.00,0010201.00,1.0,1
0010202.01,0010202.01,1.0,1
0010202.02,0010202.02,1.0,1
0010202.04,0010172.02,0.0008455234583604912,4
0010202.04,0010202.04,0.9991544765416395,4
0010202.05,0010202.05,1.0,1
0010300.00,0010300.00,1.0,1
0010301.01,0010301.01,1.0,1
0010301.02,0010301.02,1.0,1
0010302.00,0010302.00,1.0,1
2050001.00,2050001.00,1.0,1
2050002.00,2050002.00,1.0,1
2050003.00,2050003.00,1.0,1
2050004.01,2050004.01,1.0,1
2050004.02,2050004.02,1.0,1
2050005.00,2050005.00,1.0,1
2050006.00,2050006.00,1.0,1
2050007.00,2050007.00,1.0,1
2050008.00,2050008.00,1.0,1
2050009.00,2050009.00,1.0,1
2050010.00,2050010.00,1.0,1
2050011.00,2050011.00,1.0,1
2050012.00,2050012.00,1.0,1
2050013.00,2050013.00,1.0,1
2050014.00,2050014.00,1.0,1
2050015.00,2050015.00,1.0,1
2050016.00,2050016.00,1.0,1
2050017.00,2050017.00,1.0,1
2050018.00,2050018.00,1.0,1
2050019.00,2050019.00,1.0,1
2050020.00,2050020.00,1.0,1
2050021.00,2050021.00,1.0,1
2050022.00,2050022.00,1.0,1
2050023.00,2050023.00,1.0,1
2050024.00,2050024.00,1.0,1
2050025.01,2050025.01,1.0,1
2050025.02,2050025.02,1.0,1
2050025.03,2050025.03,1.0,1
2050026.02,2050026.02,1.0,1
2050026.03,2050026.03,1.0,1
2050026.04,2050026.04,1.0,1
2050026.05,2050026.05,1.0,1
2050027.00,2050027.00,1.0,1
2050100.00,2050100.00,1.0,1
2050101.00,2050101.00,1.0,1
2050102.00,2050102.00,1.0,1
2050103.00,2050103.00,1.0,1
2050104.01,2050104.01,1.0,1
2050104.02,2050104.02,1.0,1
2050105.01,2050105.01,1.0,1
2050105.02,2050105.02,1.0,1
2050106.01,2050106.01,1.0,1
2050106.02,2050106.02,1.0,1
2050107.00,2050107.00,1.0,1
2050108.00,2050108.00,1.0,1
2050109.00,2050109.00,1.0,1
2050110.00,2050110.00,1.0,1
2050111.00,2050111.00,1.0,1
2050112.00,2050112.00,1.0,1
2050113.00,2050113.00,1.0,1
2050114.00,2050114.00,1.0,1
2050120.00,2050120.00,1.0,1
2050121.02,2050121.02,1.0,1
2050121.03,2050121.03,1.0,1
2050121.05,2050121.05,1.0,1
2050121.06,2050121.06,1.0,1
2050121.07,2050121.09,0.05151680998297812,3
2050121.07,2050121.10,0.9484831900170219,3
2050121.08,2050121.08,1.0,1
2050122.01,2050122.01,1.0,1
2050122.03,2050122.03,1.0,1
2050122.04,2050122.04,1.0,1
2050122.05,2050122.05,1.0,1
2050123.01,2050123.01,1.0,1
2050123.02,2050123.02,1.0,1
2050123.04,2050123.04,1.0,1
2050123.05,2050123.05,1.0,1
2050123.06,2050123.06,1.0,1
2050130.01,2050130.05,0.00021774720790868909,3
2050130.01,2050130.06,0.9997822527920913,3
2050130.03,2050130.03,1.0,1
2050130.04,2050130.04,1.0,1
2050131.01,2050131.01,1.0,1
2050131.02,2050131.02,1.0,1
2050131.03,2050131.03,1.0,1
2050131.04,2050131.04,1.0,1
2050131.05,2050131.05,1.0,1
2050132.03,2050132.03,1.0,1
2050132.04,2050132.04,1.0,1
2050132.06,2050132.06,1.0,1
2050132.07,2050132.07,1.0,1
2050132.08,2050132.09,0.003794625488904215,3
2050132.08,2050132.10,0.9962053745110957,3
2050140.00,2050140.00,1.0,1
2050141.00,2050141.00,1.0,1
2050142.01,2050142.01,1.0,1
2050142.02,2050142.02,1.0,1
2050143.01,2050143.01,1.0,1
2050143.02,2050143.02,1.0,1
2050150.01,2050150.01,1.0,1
2050150.02,2050150.02,1.0,1
2050151.00,2050151.00,1.0,1
2050152.00,2050152.00,1.0,1
2050153.00,2050153.00,1.0,1
2050154.00,2050154.01,0.007089766484521909,3
2050154.00,2050154.03,0.004924134212130419,3
2050154.00,2050154.04,0.9879860993033477,3
2050155.00,2050155.00,1.0,1
3050001.00,3050001.00,1.0,1
3050002.00,3050002.00,1.0,1
3050003.01,3050003.01,1.0,1
3050003.03,3050003.03,0.988452982719896,4
3050003.03,3050011.00,0.011547017280103992,4
3050003.04,3050003.04,0.978153201533585,4
3050003.04,3050008.00,0.021846798466415015,4
3050004.00,3050004.00,1.0,1
3050005.00,3050005.00,1.0,4
3050006.00,3050006.00,1.0,4
3050007.00,3050005.00,0.026888060519490053,4
3050007.00,3050007.00,0.97311193948051,4
3050008.00,3050008.00,1.0,4
3050009.00,3050009.00,1.0,4
3050010.01,3050010.01,1.0,1
3050010.02,3050009.00,0.0023280880177969166,4
3050010.02,3050010.02,0.9976719119822031,4
3050011.00,3050011.00,0.9956565544716648,4
3050011.00,3050016.01,0.00434344552833518,4
3050012.00,3050006.00,0.004299784662537136,4
3050012.00,3050012.00,0.9924429861793765,4
3050012.00,3050013.00,0.003257229158086337,4
3050013.00,3050013.00,1.0,4
3050014.02,3050014.02,0.9788625557436622,4
3050014.02,3050014.04,0.021137444256337796,4
3050014.03,3050014.03,1.0,1
3050014.04,3050014.04,1.0,4
3050015.00,3050015.01,0.007185354923214093,3
3050015.00,3050015.02,0.9928146450767859,3
3050016.01,3050016.01,1.0,4
3050016.02,3050016.02,1.0,1
3050100.00,3050100.00,1.0,4
3050101.00,3050101.00,1.0,1
3050102.01,3050102.01,1.0,1
3050102.02,3050102.02,1.0,1
3050110.00,3050110.00,1.0,4
3050200.00,3050200.00,1.0,1
3100001.01,3100001.01,1.0,1
3100001.02,3100001.02,1.0,1
3100002.01,3100002.01,1.0,1
3100002.02,3100002.02,1.0,1
3100003.00,3100003.00,1.0,1
3100004.00,3100004.00,1.0,1
3100005.00,3100005.00,1.0,1
3100006.00,3100006.00,0.888702313590484,4
3100006.00,3100007.00,0.11129768640951598,4
3100007.00,3100007.00,1.0,4
3100008.00,3100008.00,1.0,4
3100009.00,3100008.00,0.1448944715566755,4
3100009.00,3100009.00,0.8551055284433244,4
3100010.00,3100009.00,0.13256582754175397,4
3100010.00,3100010.00,0.867434172458246,4
3100011.00,3100011.00,1.0,1
3100012.00,3100012.00,1.0,4
3100013.00,3100012.00,0.02220651445828959,4
3100013.00,3100013.00,0.9777934855417104,4
3100014.00,3100014.00,1.0,1
3100015.00,3100015.00,1.0,1
3100016.00,3100016.00,1.0,1
3100017.00,3100017.00,1.0,1
3100018.00,3100018.00,1.0,4
3100019.00,3100018.00,0.03461983821556679,4
3100019.00,3100019.00,0.5723737126561106,4
3100019.00,3100020.00,0.3930064491283226,4
3100020.00,3100020.00,1.0,4
3100021.00,3100021.00,1.0,1
3100022.00,3100022.00,1.0,1
3100023.00,3100023.00,1.0,1
3100024.00,3100024.00,1.0,1
3100025.01,3100025.01,0.9954728861247852,4
3100025.01,3100025.02,0.00452711387521475,4
3100025.02,3100025.02,1.0,4
3100026.00,3100026.00,1.0,1
3100027.01,3100027.01,1.0,1
3100027.02,3100027.02,1.0,1
3100028.00,3100028.00,1.0,1
3100029.00,3100029.00,1.0,1
3100100.01,3100100.01,1.0,1
3100100.02,3100100.03,0.6392545919377025,3
3100100.02,3100100.04,0.3607454080622975,3
3100101.00,3100101.00,1.0,1
3100102.00,3100102.00,1.0,1
3100110.01,3100110.01,1.0,1
3100110.02,3100110.02,1.0,4
3100111.00,3100111.00,1.0,1
3100112.00,3100112.00,1.0,1
3100120.02,3100110.02,0.005341254875057093,4
3100120.02,3100120.02,0.9946587451249429,4
3100120.03,3100120.03,1.0,1
3100120.04,3100120.04,1.0,1
3100130.01,3100130.01,1.0,1
3100130.02,3100130.03,0.08653275640561581,3
3100130.02,3100130.04,0.9134672435943841,3
3100131.00,3100131.01,0.46963698962582295,4
3100131.00,3100131.02,0.530363010374177,4
3200001.00,3200001.00,1.0,1
3200002.00,3200002.00,1.0,1
3200003.00,3200003.00,1.0,1
3200004.00,3200004.00,1.0,1
3200005.00,3200005.00,1.0,1
3200006.00,3200006.00,1.0,1
3200007.00,3200007.00,1.0,4
3200008.00,3200008.00,1.0,4
3200009.00,3200009.00,1.0,1
3200010.00,3200010.00,1.0,1
3200011.00,3200011.00,1.0,1
3200012.00,3200012.00,1.0,1
3200013.00,3200013.00,1.0,1
3200014.00,3200014.00,1.0,1
3200015.00,3200015.00,1.0,1
3200016.00,3200016.00,1.0,1
