ctuid,ct_pct
0010000000,0000
0010001.00,2449
0010002.00,0002
0010003.00,2450
0010004.00,2451
0010005.01,2452
0010005.02,2453
0010006.00,0006
0010007.00,0007
0010008.00,0008
0010009.00,0009
0010010.00,0010
0010011.00,0011
0010012.00,0012
0010013.00,0013
0010014.00,0014
0010015.01,2454
0010015.02,2455
0010015.03,3047
0010016.00,2456
0010100.01,3048
0010100.02,3049
0010170.00,2458
0010171.00,2459
0010172.00,2460
0010200.01,3050
0010200.02,3051
0010201.00,2462
0010202.00,2463
0010300.00,2464
0010301.01,3052
0010301.02,3053
0010302.00,2466
0010303.00,3984
2050000000,0000
2050001.00,0030
2050002.00,0031
2050003.00,0032
2050004.00,0033
2050005.00,0034
2050006.00,0035
2050007.00,0036
2050008.00,0037
2050009.00,0038
2050010.00,0039
2050011.00,0040
2050012.00,0041
2050013.00,0042
2050014.00,0043
2050015.00,0044
2050016.00,0045
2050017.00,0046
2050018.00,0047
2050019.00,0048
2050020.00,0049
2050021.00,0050
2050022.00,0051
2050023.00,0052
2050024.00,0053
2050025.01,3054
2050025.02,3055
2050026.00,0055
2050027.00,0056
2050100.00,0057
2050101.00,0058
2050102.00,0059
2050103.00,0060
2050104.01,3056
2050104.02,3057
2050105.01,3058
2050105.02,3059
2050106.00,0063
2050107.00,0064
2050108.00,0065
2050109.00,0066
2050110.00,0067
2050111.00,0068
2050112.00,0069
2050113.00,0070
2050114.00,0071
2050120.00,2467
2050121.01,3060
2050121.02,3061
2050122.00,2469
2050123.00,2470
2050130.00,2471
2050131.01,3062
2050131.02,3063
2050131.03,3064
2050132.00,2473
2050140.00,2833
2050141.00,2834
2050142.00,2685
2050143.00,2691
2050150.00,3012
2050151.00,3013
2050152.00,3014
3050000000,0000
3050001.00,2835
3050002.00,2836
3050003.00,2837
3050004.00,2838
3050005.00,2839
3050006.00,2840
3050007.00,2841
3050008.00,2842
3050009.00,2843
3050010.00,2844
3050011.00,2845
3050012.00,2846
3050013.00,2847
3050014.00,2849
3050015.00,3065
3050016.00,3066
3050100.00,3067
3050101.00,2850
3050102.00,2851
3100000000,0000
3100001.01,3068
3100001.02,3069
3100002.01,3070
3100002.02,3071
3100003.00,0077
3100004.00,0078
3100005.00,0079
3100006.00,0080
3100007.00,0081
3100008.00,0082
3100009.00,0083
3100010.00,0084
3100011.00,0085
3100012.00,0086
3100013.00,0087
3100014.00,0088
3100015.00,0089
3100016.00,0090
3100017.00,0091
3100018.00,0092
3100019.00,0093
3100020.00,0094
3100021.00,0095
3100022.00,0096
3100023.00,0097
3100024.00,0098
3100025.01,3072
3100025.02,3073
3100026.00,0100
3100027.01,3074
3100027.02,3075
3100028.00,0102
3100029.00,0103
3100100.00,2474
3100110.00,2476
3100120.00,2477
3100130.00,2475
4080000000,0000
4080001.00,2805
4080002.00,2806
4080003.00,2807
4080004.00,2808
4080005.00,2809
4080006.00,2810
4080007.00,2811
4080008.00,2812
4080100.00,2813
4080101.00,2814
4080102.00,2815
4080103.00,2816
4080104.00,2817
4080105.00,2818
4080106.00,2819
4080107.00,2820
4080108.00,2821
4080109.00,2822
4080110.00,2823
4080111.00,2824
4080120.00,2825
4080130.00,2826
4080131.00,2827
4080132.00,2828
4080133.00,2829
4080140.00,2830
4080150.00,2831
4210000000,0000
4210001.00,0118
4210002.00,0119
4210003.00,0120
4210004.00,0121
4210005.00,0122
4210006.00,0123
4210007.00,0124
4210008.00,0125
4210009.00,0126
4210010.00,0127
4210011.00,0128
4210012.00,0129
4210013.00,0130
4210014.00,0131
4210015.00,0132
4210016.00,0133
4210017.00,0134
4210018.00,0135
4210019.00,0136
4210020.00,0137
4210021.00,0138
4210022.00,0139
4210023.00,0140
4210024.00,0141
4210025.00,0142
4210026.00,0143
4210027.00,0144
4210028.00,0145
4210029.00,0146
4210030.00,0147
4210031.00,0148
4210032.00,0149
4210033.01,3076
4210033.02,3077
4210034.00,0151
4210035.00,0152
4210036.00,0153
4210037.00,0154
4210038.01,3078
4210038.02,3079
4210039.01,2655
4210039.02,2760
4210040.01,2478
4210040.02,2479
4210041.01,2480
4210041.02,2481
4210041.03,2482
4210100.00,0159
4210101.00,0160
4210102.00,0161
4210103.00,0162
4210110.00,0163
4210111.00,0164
4210112.01,3080
4210112.02,3081
4210113.01,3082
4210113.02,3083
4210114.00,0167
4210115.00,0168
4210116.00,0169
4210117.00,0170
4210118.00,0171
4210119.00,0172
4210120.00,0173
4210140.01,3084
4210140.02,3085
4210140.03,3086
4210160.01,2483
4210160.02,2484
4210160.03,3087
4210170.00,2485
4210190.00,0179
4210200.00,2698
4210210.00,2486
4210220.00,0182
4210230.00,0183
4210240.00,0184
4210260.01,2487
4210260.02,2488
4210260.03,2489
4210270.01,2490
4210270.02,2491
4210271.01,2492
4210271.02,2493
4210272.00,0188
4210273.01,2494
4210273.02,2495
4210280.01,2496
4210280.02,2497
4210280.03,2498
4210290.00,0191
4210300.00,0192
4210310.00,0193
4210311.01,2499
4210311.02,2500
4210320.01,2501
4210320.02,2502
4210320.03,2503
4210320.04,3088
4210330.00,0196
4210340.00,0197
4210350.00,0198
4210360.00,0199
4210370.00,0200
4210500.00,0202
4210510.00,0203
4210520.00,2699
4210530.00,2789
4210540.00,2790
4210600.00,0204
4210610.00,0205
4210700.00,2906
4210800.00,0206
4210801.00,0207
4210802.00,0208
4210810.00,0209
4210811.00,0210
4210812.00,0211
4210820.00,2505
4210825.00,2907
4210830.00,2506
4210835.00,2926
4210840.00,0214
4210845.00,2948
4210846.00,2512
4210850.00,0215
4330000000,0000
4330001.00,0216
4330002.00,0217
4330003.00,0218
4330004.00,0219
4330005.00,0220
4330006.00,2507
4330007.00,0222
4330008.00,2508
4330009.00,0224
4330010.00,0225
4330011.00,0226
4330012.00,0227
4330013.00,0228
4330014.00,0229
4330015.01,3089
4330015.02,3090
4330016.00,0231
4330017.00,0232
4330018.00,0233
4330019.00,0234
4330100.00,0235
4330110.01,3091
4330110.02,3092
4330111.01,3093
4330111.02,3094
4330111.03,3095
4330111.04,3096
4330112.00,3097
4330113.00,3098
4420000000,0000
4420001.00,0236
4420002.00,0237
4420003.00,0238
4420004.00,0239
4420005.00,0240
4420006.00,0241
4420007.00,0242
4420008.00,0243
4420009.00,0244
4420010.00,0245
4420011.00,0246
4420012.00,0247
4420013.00,0248
4420100.00,2509
4420101.00,2510
4420102.00,3099
4420200.00,0250
4420201.00,0251
4420202.00,0252
4420203.00,0253
4420204.00,0254
4420205.01,3100
4420205.02,3101
4420210.00,2786
4420211.00,3102
4620000000,0000
4620001.00,0257
4620002.00,0258
4620003.00,0259
4620004.00,0260
4620005.00,0261
4620006.00,0262
4620007.00,0263
4620008.00,0264
4620009.00,0265
4620010.00,0266
4620011.00,0267
4620012.01,2852
4620012.02,2853
4620013.00,0269
4620014.00,0270
4620015.00,0271
4620016.00,0272
4620017.00,0273
4620018.00,0274
4620019.00,0275
4620020.00,0276
4620021.00,0277
4620022.00,0278
4620023.00,0279
4620024.00,0280
4620025.00,0281
4620026.00,0282
4620027.00,0283
4620028.00,0284
4620029.00,0285
4620030.00,0286
4620031.00,0287
4620032.00,0288
4620033.00,0289
4620034.00,0290
4620035.00,0291
4620036.00,0292
4620037.00,0293
4620038.00,0294
4620039.00,0295
4620040.00,0296
4620041.00,0297
4620042.00,0298
4620043.00,0299
4620044.00,0300
4620045.00,0301
4620046.00,0302
4620047.00,0303
4620048.00,0304
4620049.00,0305
4620050.00,0306
4620051.00,0307
4620052.00,0308
4620053.00,0309
4620054.00,0310
4620055.00,0311
4620056.00,0312
4620057.00,0313
4620058.00,0314
4620059.00,0315
4620060.00,0316
4620061.00,0317
4620062.00,0318
4620063.00,0319
4620064.00,0320
4620065.01,3103
4620065.02,3104
4620066.01,3105
4620066.02,3106
4620067.00,0323
4620068.00,0324
4620069.00,0325
4620070.00,0326
4620071.00,0327
4620072.00,0328
4620073.00,0329
4620074.00,0330
4620075.00,0331
4620076.00,0332
4620077.00,0333
4620078.00,0334
4620079.00,0335
4620080.00,0336
4620081.00,0337
4620082.00,0338
4620083.00,0339
4620084.00,0340
4620085.00,0341
4620086.00,0342
4620087.00,0343
4620088.00,0344
4620089.00,0345
4620090.00,0346
4620091.00,0347
4620092.00,0348
4620093.00,0349
4620094.00,0350
4620095.00,0351
4620096.00,0352
4620097.01,2854
4620097.02,2855
4620098.00,0354
4620099.00,0355
4620100.00,0356
4620101.00,0357
4620102.00,0358
4620103.00,0359
4620104.00,0360
4620105.00,0361
4620106.00,0362
4620107.00,0363
4620108.00,0364
4620109.00,0365
4620110.00,0366
4620111.00,0367
4620112.00,0368
4620113.00,0369
4620114.00,0370
4620115.01,3107
4620115.02,3108
4620116.00,0372
4620117.00,0373
4620118.00,0374
4620119.00,0375
4620120.00,0376
4620121.00,0377
4620122.00,0378
4620123.00,0379
4620124.00,0380
4620125.00,0381
4620126.00,0382
4620127.00,0383
4620128.00,0384
4620129.00,0385
4620130.00,0386
4620131.00,0387
4620132.00,0388
4620133.00,0389
4620134.00,0390
4620135.00,0391
4620136.00,0392
4620137.00,0393
4620138.00,0394
4620139.00,0395
4620140.00,0396
4620141.00,0397
4620142.00,0398
4620143.00,0399
4620144.00,0400
4620145.00,0401
4620146.00,0402
4620147.00,0403
4620148.00,0404
4620149.00,0405
4620150.00,0406
4620151.00,0407
4620152.00,0408
4620153.00,0409
4620154.00,0410
4620155.00,0411
4620156.00,0412
4620157.00,0413
4620158.00,0414
4620159.00,0415
4620160.00,0416
4620161.00,0417
4620162.00,0418
4620163.00,0419
4620164.00,0420
4620165.00,0421
4620166.00,0422
4620167.00,0423
4620168.00,0424
4620169.00,0425
4620170.00,0426
4620171.00,0427
4620172.00,0428
4620173.00,0429
4620174.00,0430
4620175.00,0431
4620176.00,0432
4620177.00,0433
4620178.00,0434
4620179.00,0435
4620180.00,0436
4620181.00,0437
4620182.00,0438
