"cma","xi","yi","xg","yg"
001,-52.71094,47.57387,-52.70985,47.57385
001,-52.72955,47.55331,-52.72849,47.55307
001,-52.71728,47.67806,-52.71685,47.67780
001,-52.79224,47.60096,-52.79129,47.60081
001,-52.73959,47.60190,-52.73874,47.60190
001,-52.73209,47.56345,-52.73105,47.56313
001,-52.71237,47.56404,-52.71141,47.56391
001,-52.71100,47.56274,-52.70998,47.56262
001,-52.73903,47.54725,-52.73799,47.54705
001,-52.74050,47.53834,-52.73953,47.53809
001,-52.71059,47.51678,-52.70981,47.51675
001,-52.76902,47.48821,-52.76774,47.48818
001,-52.74150,47.33088,-52.74046,47.33081
001,-53.03334,47.46649,-53.03109,47.46703
001,-52.77136,47.53851,-52.77036,47.53819
001,-52.74643,47.54475,-52.74566,47.54455
205,-63.59615,44.82876,-63.59475,44.82844
205,-63.49118,44.67175,-63.49006,44.67161
205,-63.51372,44.64369,-63.51300,44.64371
205,-63.51881,44.67176,-63.51826,44.67173
205,-63.56695,44.66833,-63.56626,44.66848
205,-63.57074,44.68199,-63.57005,44.68220
205,-63.53793,44.68550,-63.53749,44.68578
205,-63.58471,44.67920,-63.58418,44.67938
205,-63.57828,44.66992,-63.57750,44.67012
205,-63.65722,44.74459,-63.65641,44.74480
205,-63.67733,44.76434,-63.67680,44.76438
205,-63.68104,44.72812,-63.68038,44.72822
205,-63.66712,44.72809,-63.66639,44.72818
205,-63.65487,44.73810,-63.65436,44.73865
205,-63.81867,44.72772,-63.81728,44.72745
205,-63.61860,44.61138,-63.61776,44.61167
205,-63.62064,44.60857,-63.61979,44.60900
205,-63.62296,44.63551,-63.62181,44.63596
205,-63.63031,44.64842,-63.62960,44.64853
205,-63.63077,44.65343,-63.63012,44.65363
205,-63.63420,44.65900,-63.63347,44.65910
205,-63.65803,44.66831,-63.65710,44.66846
205,-63.65118,44.67843,-63.65034,44.67849
205,-63.66620,44.67629,-63.66537,44.67638
205,-63.58405,44.63249,-63.58318,44.63265
205,-63.57845,44.64842,-63.57775,44.64856
205,-63.61410,44.64363,-63.61356,44.64386
