source_ctuid,target_ctuid,w_area
0010001.00,0010008.00,1.0000000000
0010002.00,0010009.00,1.0000000000
0010003.00,0010014.00,0.9035248209
0010003.00,0010015.00,0.0964751791
0010004.00,0010013.00,1.0000000000
0010005.00,0010010.00,1.0000000000
0010006.00,0010007.00,1.0000000000
0010007.00,0010006.00,1.0000000000
0010008.00,0010011.00,1.0000000000
0010009.00,0010012.00,1.0000000000
0010010.00,0010004.00,0.0469628135
0010010.00,0010005.00,0.9530371865
0010011.00,0010002.00,0.9044902306
0010011.00,0010003.00,0.0955097694
0010012.00,0010001.00,1.0000000000
0010050.00,0010002.00,0.1447252215
0010050.00,0010003.00,0.0455490238
0010050.00,0010050.00,0.8097257547
0010051.00,0010003.00,0.2082048271
0010051.00,0010051.00,0.7917951729
0010052.00,0010052.00,1.0000000000
0010053.00,0010003.00,0.5306999502
0010053.00,0010053.00,0.4693000498
0010054.00,0010004.00,0.6797398724
0010054.00,0010053.00,0.3202601276
0010055.00,0010016.00,0.5634043394
0010055.00,0010055.00,0.4365956606
0010056.00,0010014.00,0.1719349289
0010056.00,0010016.00,0.4691052586
0010056.00,0010056.00,0.3589598125
0010057.00,0010015.00,0.3744642267
0010057.00,0010057.00,0.6255357733
0010058.00,0010008.00,1.0000000000
2050001.00,2050001.00,1.0000000000
2050002.00,2050002.00,1.0000000000
2050003.00,2050003.00,1.0000000000
2050004.00,2050004.00,1.0000000000
2050005.00,2050005.00,1.0000000000
2050006.00,2050006.00,1.0000000000
2050007.00,2050007.00,1.0000000000
2050008.00,2050008.00,1.0000000000
2050009.00,2050009.00,1.0000000000
2050010.00,2050010.00,1.0000000000
2050011.00,2050011.00,1.0000000000
2050012.00,2050012.00,1.0000000000
2050013.00,2050013.00,1.0000000000
2050014.00,2050014.00,1.0000000000
2050015.00,2050015.00,1.0000000000
2050016.00,2050016.00,1.0000000000
2050017.00,2050017.00,1.0000000000
2050018.00,2050018.00,0.8763066721
2050018.00,2050022.00,0.1236933279
2050019.00,2050019.00,1.0000000000
2050020.00,2050020.00,1.0000000000
2050021.00,2050021.00,1.0000000000
2050022.00,2050022.00,1.0000000000
2050023.00,2050023.00,1.0000000000
2050024.00,2050024.00,1.0000000000
2050050.00,2050050.00,1.0000000000
2050051.00,2050051.00,1.0000000000
2050052.00,2050052.00,1.0000000000
2050053.00,2050053.00,1.0000000000
2050054.00,2050054.00,1.0000000000
2050055.00,2050055.00,1.0000000000
2050056.00,2050056.00,1.0000000000
3100001.00,3100001.00,1.0000000000
3100002.00,3100002.00,1.0000000000
3100003.00,3100003.00,1.0000000000
3100004.00,3100004.00,1.0000000000
3100005.00,3100005.00,1.0000000000
3100006.00,3100006.00,1.0000000000
3100007.00,3100007.00,0.9084620608
3100007.00,3100008.00,0.0915379392
3100008.00,3100008.00,1.0000000000
3100009.00,3100010.00,1.0000000000
3100010.00,3100010.00,1.0000000000
3100011.00,3100011.00,1.0000000000
3100012.00,3100012.00,1.0000000000
3100013.00,3100013.00,1.0000000000
3100014.00,3100014.00,1.0000000000
3100015.00,3100015.00,1.0000000000
3100016.00,3100016.00,1.0000000000
3100017.00,3100017.00,1.0000000000
3100018.00,3100018.00,1.0000000000
3100021.00,3100021.00,1.0000000000
3100022.00,3100022.00,1.0000000000
3100023.00,3100021.00,0.0656857283
3100023.00,3100023.00,0.9343142717
3100024.00,3100024.00,1.0000000000
3100025.00,3100025.00,1.0000000000
3100026.00,3100026.00,1.0000000000
3100050.00,3100050.00,1.0000000000
3100051.00,3100051.00,1.0000000000
3100052.00,3100058.00,1.0000000000
3100053.00,3100055.00,0.0727273665
3100053.00,3100056.00,0.1523741083
3100053.00,3100057.00,0.1607235049
3100053.00,3100059.00,0.1845425506
3100053.00,3100060.00,0.3084655814
3100053.00,3100061.00,0.1211668884
3100054.00,3100052.00,0.7384512816
3100054.00,3100053.00,0.1768451938
3100054.00,3100054.00,0.0847035246
4210001.00,4210001.00,1.0000000000
4210002.00,4210002.00,1.0000000000
4210003.00,4210003.00,1.0000000000
4210004.00,4210004.00,1.0000000000
4210005.00,4210005.00,1.0000000000
4210006.00,4210006.00,1.0000000000
4210007.00,4210007.00,1.0000000000
4210008.00,4210008.00,1.0000000000
4210009.00,4210009.00,1.0000000000
4210010.00,4210010.00,1.0000000000
4210011.00,4210011.00,1.0000000000
4210012.00,4210012.00,1.0000000000
4210013.00,4210013.00,1.0000000000
4210014.00,4210014.00,1.0000000000
4210015.00,4210015.00,1.0000000000
4210016.00,4210016.00,1.0000000000
4210017.00,4210017.00,1.0000000000
4210018.00,4210018.00,1.0000000000
4210019.00,4210019.00,1.0000000000
4210020.00,4210020.00,1.0000000000
4210021.00,4210021.00,1.0000000000
4210022.00,4210022.00,1.0000000000
4210023.00,4210023.00,1.0000000000
4210024.00,4210024.00,1.0000000000
4210025.00,4210025.00,1.0000000000
4210026.00,4210026.00,1.0000000000
4210027.00,4210027.00,1.0000000000
4210028.00,4210028.00,1.0000000000
4210029.00,4210029.00,1.0000000000
4210030.00,4210030.00,1.0000000000
4210031.00,4210031.00,1.0000000000
4210032.00,4210032.00,1.0000000000
4210033.00,4210033.00,1.0000000000
4210034.00,4210034.00,1.0000000000
4210035.00,4210035.00,1.0000000000
4210036.00,4210036.00,1.0000000000
4210037.00,4210037.00,1.0000000000
4210038.00,4210038.00,1.0000000000
4210061.00,4210061.00,1.0000000000
